ComponentName;StatisticName;StatisticSubId;StatisticType;SimTime;Rank;Sum.u64;SumSQ.u64;Count.u64;Min.u64;Max.u64
tile_xbar;output_packet_count;port0;Accumulator;40005000;0;10000;10000;10000;1;1
tile_xbar;input_packet_count;port0;Accumulator;40005000;0;10000;10000;10000;1;1
tile_xbar;output_packet_count;port1;Accumulator;40005000;0;10000;10000;10000;1;1
tile_xbar;input_packet_count;port1;Accumulator;40005000;0;10000;10000;10000;1;1
tile_xbar;output_packet_count;port2;Accumulator;40005000;0;10000;10000;10000;1;1
tile_xbar;input_packet_count;port2;Accumulator;40005000;0;10000;10000;10000;1;1
tile_xbar;output_packet_count;port3;Accumulator;40005000;0;10000;10000;10000;1;1
tile_xbar;input_packet_count;port3;Accumulator;40005000;0;10000;10000;10000;1;1
tile_xbar;output_packet_count;port4;Accumulator;40005000;0;40000;40000;40000;1;1
tile_xbar;input_packet_count;port4;Accumulator;40005000;0;40000;40000;40000;1;1
tile_xbar;output_packet_count;port5;Accumulator;40005000;0;0;0;0;0;0
tile_xbar;input_packet_count;port5;Accumulator;40005000;0;0;0;0;0;0
tile_xbar;output_packet_count;port6;Accumulator;40005000;0;0;0;0;0;0
tile_xbar;input_packet_count;port6;Accumulator;40005000;0;0;0;0;0;0
tile_xbar;output_packet_count;port7;Accumulator;40005000;0;0;0;0;0;0
tile_xbar;input_packet_count;port7;Accumulator;40005000;0;0;0;0;0;0
tile_xbar;output_packet_count;port8;Accumulator;40005000;0;0;0;0;0;0
tile_xbar;input_packet_count;port8;Accumulator;40005000;0;0;0;0;0;0
tile_xbar;output_packet_count;port9;Accumulator;40005000;0;0;0;0;0;0
tile_xbar;input_packet_count;port9;Accumulator;40005000;0;0;0;0;0;0
tile_xbar;output_packet_count;port10;Accumulator;40005000;0;0;0;0;0;0
tile_xbar;input_packet_count;port10;Accumulator;40005000;0;0;0;0;0;0
tile_xbar;output_packet_count;port11;Accumulator;40005000;0;0;0;0;0;0
tile_xbar;input_packet_count;port11;Accumulator;40005000;0;0;0;0;0;0
tile_xbar;output_packet_count;port12;Accumulator;40005000;0;0;0;0;0;0
tile_xbar;input_packet_count;port12;Accumulator;40005000;0;0;0;0;0;0
tile_xbar;output_packet_count;port13;Accumulator;40005000;0;0;0;0;0;0
tile_xbar;input_packet_count;port13;Accumulator;40005000;0;0;0;0;0;0
tile_xbar;output_packet_count;port14;Accumulator;40005000;0;0;0;0;0;0
tile_xbar;input_packet_count;port14;Accumulator;40005000;0;0;0;0;0;0
tile_xbar;output_packet_count;port15;Accumulator;40005000;0;0;0;0;0;0
tile_xbar;input_packet_count;port15;Accumulator;40005000;0;0;0;0;0;0
tile_xbar;output_packet_count;port16;Accumulator;40005000;0;0;0;0;0;0
tile_xbar;input_packet_count;port16;Accumulator;40005000;0;0;0;0;0;0
tile_xbar;output_packet_count;port17;Accumulator;40005000;0;0;0;0;0;0
tile_xbar;input_packet_count;port17;Accumulator;40005000;0;0;0;0;0;0
tile_xbar;output_packet_count;port18;Accumulator;40005000;0;0;0;0;0;0
tile_xbar;input_packet_count;port18;Accumulator;40005000;0;0;0;0;0;0
tile_xbar;output_packet_count;port19;Accumulator;40005000;0;0;0;0;0;0
tile_xbar;input_packet_count;port19;Accumulator;40005000;0;0;0;0;0;0
tile_xbar;packets_moved;;Accumulator;40005000;0;80000;159994;40004;0;2
tile_xbar;cycles_zero_events;;Accumulator;40005000;0;0;0;0;0;0
tile_xbar;cycles_events;;Accumulator;40005000;0;40004;40004;40004;1;1
core0;req_latency;;Accumulator;40005000;0;53534;295942;10000;5;8
core0;requests_issued;;Accumulator;40005000;0;10000;10000;10000;1;1
core0;loads_issued;;Accumulator;40005000;0;10000;10000;10000;1;1
core0;stores_issued;;Accumulator;40005000;0;0;0;0;0;0
core0;stall_lsu_full;;Accumulator;40005000;0;0;0;0;0;0
core0;stall_no_credit;;Accumulator;40005000;0;1767;1767;1767;1;1
core0;active_cycles;;Accumulator;40005000;0;11771;138556441;1;11771;11771
core1;req_latency;;Accumulator;40005000;0;74446;1347290;10000;5;43
core1;requests_issued;;Accumulator;40005000;0;10000;10000;10000;1;1
core1;loads_issued;;Accumulator;40005000;0;10000;10000;10000;1;1
core1;stores_issued;;Accumulator;40005000;0;0;0;0;0;0
core1;stall_lsu_full;;Accumulator;40005000;0;0;0;0;0;0
core1;stall_no_credit;;Accumulator;40005000;0;12222;12222;12222;1;1
core1;active_cycles;;Accumulator;40005000;0;22228;494083984;1;22228;22228
core2;req_latency;;Accumulator;40005000;0;93158;2286200;10000;5;43
core2;requests_issued;;Accumulator;40005000;0;10000;10000;10000;1;1
core2;loads_issued;;Accumulator;40005000;0;10000;10000;10000;1;1
core2;stores_issued;;Accumulator;40005000;0;0;0;0;0;0
core2;stall_lsu_full;;Accumulator;40005000;0;0;0;0;0;0
core2;stall_no_credit;;Accumulator;40005000;0;21579;21579;21579;1;1
core2;active_cycles;;Accumulator;40005000;0;31583;997485889;1;31583;31583
core3;req_latency;;Accumulator;40005000;0;110000;3129114;10000;5;43
core3;requests_issued;;Accumulator;40005000;0;10000;10000;10000;1;1
core3;loads_issued;;Accumulator;40005000;0;10000;10000;10000;1;1
core3;stores_issued;;Accumulator;40005000;0;0;0;0;0;0
core3;stall_lsu_full;;Accumulator;40005000;0;0;0;0;0;0
core3;stall_no_credit;;Accumulator;40005000;0;30000;30000;30000;1;1
core3;active_cycles;;Accumulator;40005000;0;40004;1600320016;1;40004;40004
bank0;requests_received;;Accumulator;40005000;0;40000;40000;40000;1;1
bank0;responses_sent;;Accumulator;40005000;0;40000;40000;40000;1;1
bank0;response_stalls;;Accumulator;40005000;0;0;0;0;0;0
bank1;requests_received;;Accumulator;40005000;0;0;0;0;0;0
bank1;responses_sent;;Accumulator;40005000;0;0;0;0;0;0
bank1;response_stalls;;Accumulator;40005000;0;0;0;0;0;0
bank2;requests_received;;Accumulator;40005000;0;0;0;0;0;0
bank2;responses_sent;;Accumulator;40005000;0;0;0;0;0;0
bank2;response_stalls;;Accumulator;40005000;0;0;0;0;0;0
bank3;requests_received;;Accumulator;40005000;0;0;0;0;0;0
bank3;responses_sent;;Accumulator;40005000;0;0;0;0;0;0
bank3;response_stalls;;Accumulator;40005000;0;0;0;0;0;0
bank4;requests_received;;Accumulator;40005000;0;0;0;0;0;0
bank4;responses_sent;;Accumulator;40005000;0;0;0;0;0;0
bank4;response_stalls;;Accumulator;40005000;0;0;0;0;0;0
bank5;requests_received;;Accumulator;40005000;0;0;0;0;0;0
bank5;responses_sent;;Accumulator;40005000;0;0;0;0;0;0
bank5;response_stalls;;Accumulator;40005000;0;0;0;0;0;0
bank6;requests_received;;Accumulator;40005000;0;0;0;0;0;0
bank6;responses_sent;;Accumulator;40005000;0;0;0;0;0;0
bank6;response_stalls;;Accumulator;40005000;0;0;0;0;0;0
bank7;requests_received;;Accumulator;40005000;0;0;0;0;0;0
bank7;responses_sent;;Accumulator;40005000;0;0;0;0;0;0
bank7;response_stalls;;Accumulator;40005000;0;0;0;0;0;0
bank8;requests_received;;Accumulator;40005000;0;0;0;0;0;0
bank8;responses_sent;;Accumulator;40005000;0;0;0;0;0;0
bank8;response_stalls;;Accumulator;40005000;0;0;0;0;0;0
bank9;requests_received;;Accumulator;40005000;0;0;0;0;0;0
bank9;responses_sent;;Accumulator;40005000;0;0;0;0;0;0
bank9;response_stalls;;Accumulator;40005000;0;0;0;0;0;0
bank10;requests_received;;Accumulator;40005000;0;0;0;0;0;0
bank10;responses_sent;;Accumulator;40005000;0;0;0;0;0;0
bank10;response_stalls;;Accumulator;40005000;0;0;0;0;0;0
bank11;requests_received;;Accumulator;40005000;0;0;0;0;0;0
bank11;responses_sent;;Accumulator;40005000;0;0;0;0;0;0
bank11;response_stalls;;Accumulator;40005000;0;0;0;0;0;0
bank12;requests_received;;Accumulator;40005000;0;0;0;0;0;0
bank12;responses_sent;;Accumulator;40005000;0;0;0;0;0;0
bank12;response_stalls;;Accumulator;40005000;0;0;0;0;0;0
bank13;requests_received;;Accumulator;40005000;0;0;0;0;0;0
bank13;responses_sent;;Accumulator;40005000;0;0;0;0;0;0
bank13;response_stalls;;Accumulator;40005000;0;0;0;0;0;0
bank14;requests_received;;Accumulator;40005000;0;0;0;0;0;0
bank14;responses_sent;;Accumulator;40005000;0;0;0;0;0;0
bank14;response_stalls;;Accumulator;40005000;0;0;0;0;0;0
bank15;requests_received;;Accumulator;40005000;0;0;0;0;0;0
bank15;responses_sent;;Accumulator;40005000;0;0;0;0;0;0
bank15;response_stalls;;Accumulator;40005000;0;0;0;0;0;0
