ComponentName;StatisticName;StatisticSubId;StatisticType;SimTime;Rank;Sum.u64;SumSQ.u64;Count.u64;Min.u64;Max.u64
bank8;response_stalls;;Accumulator;11067000;0;0;0;0;0;0
bank9;requests_received;;Accumulator;11067000;0;2482;2482;2482;1;1
bank9;responses_sent;;Accumulator;11067000;0;2482;2482;2482;1;1
bank9;response_stalls;;Accumulator;11067000;0;0;0;0;0;0
bank10;requests_received;;Accumulator;11067000;0;2527;2527;2527;1;1
bank10;responses_sent;;Accumulator;11067000;0;2527;2527;2527;1;1
bank10;response_stalls;;Accumulator;11067000;0;0;0;0;0;0
bank11;requests_received;;Accumulator;11067000;0;2473;2473;2473;1;1
bank11;responses_sent;;Accumulator;11067000;0;2473;2473;2473;1;1
bank11;response_stalls;;Accumulator;11067000;0;0;0;0;0;0
bank12;requests_received;;Accumulator;11067000;0;2447;2447;2447;1;1
bank12;responses_sent;;Accumulator;11067000;0;2447;2447;2447;1;1
bank12;response_stalls;;Accumulator;11067000;0;0;0;0;0;0
bank13;requests_received;;Accumulator;11067000;0;2546;2546;2546;1;1
bank13;responses_sent;;Accumulator;11067000;0;2546;2546;2546;1;1
bank13;response_stalls;;Accumulator;11067000;0;0;0;0;0;0
bank14;requests_received;;Accumulator;11067000;0;2583;2583;2583;1;1
bank14;responses_sent;;Accumulator;11067000;0;2583;2583;2583;1;1
bank14;response_stalls;;Accumulator;11067000;0;0;0;0;0;0
bank15;requests_received;;Accumulator;11067000;0;2499;2499;2499;1;1
bank15;responses_sent;;Accumulator;11067000;0;2499;2499;2499;1;1
bank15;response_stalls;;Accumulator;11067000;0;0;0;0;0;0
